query,total_impressions,total_clicks,pos_gap,page_a,pos_a,impr_a,page_b,pos_b,impr_b
corp training,81,0,38.8,/blog/corporate-training-companies-singapore,8.5,72,/blog/corporate-training-companies-uk,47.3,9
corporate training videos,72,0,27.3,/,21,1,/blog/must-watch-corporate-training-videos,48.3,71
instructor led training solutions,72,0,5.1,/blog/instructor-led-training-activities,62.5,11,/instructor-led-training-services,67.6,61
managerial skills,71,0,42.2,/blog/essential-manager-skills,31.4,63,/blog/it-manager-skills,73.6,8
sales jobs,68,0,0,/blog/skills-in-demand-in-mexico,1,1,/blog/skills-in-demand-in-taiwan,1,67
talent mobility strategy,67,0,1.5,/blog/internal-talent-mobility-case-studies,90.5,16,/blog/talent-mobility,92.0,51
hris software training classes,66,0,1.4,/,8.5,2,/topic/hrms-hris-training,9.9,64
interpersonal skills meaning,66,0,34.3,/blog/interpersonal-vs-intrapersonal-skills,25.2,38,/blog/personal-vs-interpersonal-skills,59.5,28
sales team building,65,0,35.5,/blog/sales-team-activities-exercises-games,23.6,45,/blog/how-to-build-high-performing-sales-team,59.1,20
corporate training platforms,64,0,15.0,/blog/corporate-training-apps,35.8,4,/blog/best-lms-for-corporate-training,50.8,60
kuwait private sector company training,64,0,7.1,/blog/skills-in-demand-in-kuwait,2,1,/blog/corporate-training-companies-kuwait,9.1,63
soft skills training market,64,0,48.3,/blog/soft-skills-training-companies,40.9,38,/blog/corporate-training-market-analysis,89.2,26
corporate training services market,63,0,28.2,/blog/corporate-training-companies-singapore,26.6,10,/blog/corporate-training-market-analysis,54.8,53
director of operations,58,0,18.3,/blog/managing-director-roles-responsibilities,1,1,/blog/director-of-operations-roles-responsibilities,19.3,57
employee engagement consultancy,56,0,75.6,/blog/top-employee-engagement-consultants,20.4,55,/employee-engagement-consulting-services,96,1
employee engagement consulting services market,54,0,68.3,/blog/top-employee-engagement-consultants,20.2,32,/employee-engagement-consulting-services,88.5,22
hr training topics,53,0,5.5,/blog/hr-manager-skills,3,1,/blog/training-topics-for-hr-professionals,8.5,52
leadership conference,53,0,34.3,/blog/leadership-conferences-in-australia,9.8,21,/blog/leadership-conferences,44.1,32
seo team training,53,0,25.2,/course/search-engine-optimization-seo-training,46.3,51,/corporate/soft-skills-training-for-seo-teams,71.5,2
vp role,52,0,0.4,/blog/vice-president-of-strategy-roles-responsibilities,3.6,49,/blog/vice-president-of-technology-roles-responsibilities,4,3
employee engagement consultants,51,0,73.1,/blog/top-employee-engagement-consultants,18.4,39,/employee-engagement-consulting-services,91.5,12
difference between personal and interpersonal skills,50,0,1,/blog/interpersonal-vs-intrapersonal-skills,1,1,/blog/personal-vs-interpersonal-skills,2,49
corporate team building training,50,0,31.0,/blog/best-corporate-training-activities,54,27,/course/team-building-training,85.0,23
